Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
64X3noSzefx6A9sSKyuroR3oPQqjks6FvmzJDkeKE4FmXqDjjBYe24kBLxYEyKXXG8e3GhXy12aWSCVYdV1MYj9,1763677792,2025-11-20T22:29:52.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,154058227868,in,134.15,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
5rHGvSP2CvfAdxNbTdHAVcJFnjFKH9FbMs5mZtjWxViq6m79CPVEvL5wTufTmQiwxc9ZHDPxdediCgibKFTPDb6R,1763619625,2025-11-20T06:20:25.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,142876295275,in,124.41,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
nuGCKwd3CN78FsY8ykjj95aueMm43kaah5GZ5KbbUr5h7XGNnDjcYsLNRYHXRnh5N12q7KFuB4aD1Fg1vSPobyU,1763561754,2025-11-19T14:15:54.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,209142414478,in,182.11,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
EeTUW7vdRmzp3qXRWGWyZ7QMPJmtWSXtKrpU1PjJr8qZ6UziAEH6ZPPBvgLDBNmPWUFFo2ET7Lvi5bSfDrTmD1y,1763459695,2025-11-18T09:54:55.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,124895835838,in,108.75,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
3R5fCgbRYJQSFj1H6jkXPmV25FuCrpoyaqtRQqFieR9GMrt8Uwqdg1igfLUiB73o9eYkaRyMxBhKCmrp43PErnx2,1763401647,2025-11-17T17:47:27.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,140829825723,in,122.63,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
5La8BM4JoNSw6MXmvSwJynBA1zKZTKZM7ZAgTpq4pK5QrxEtXzavsRPD6npJnF6YPZkeJ92bf56HL6BUDhHtk7ZF,1763343648,2025-11-17T01:40:48.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,131416410211,in,114.43,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
4Z6A7LRmoSYv8muZR6HMoLUCGRvveqohvjhMWd5beNa3V27UWRNGgs8mDXvh9UWZ97Wz3jh5kcuqG9cvd1EeNQPY,1763285566,2025-11-16T09:32:46.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,162514825582,in,141.51,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
2sJourxyWk2gwBdBY7j1MayQ4ha8vDa2uAhSRAwAFeqNLxKN33ZHpUcaoyuduWbCX1eBBcyxnKWiJSuMWx7njeo7,1763227764,2025-11-15T17:29:24.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,224412579008,in,195.41,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
5jsRMYcVCE4zu8YraxKGvhGiDDuWdS8vU2JAVnSLdzmnvNnqLUsCNkVeFpF4s868hnvNiX4aaQ8Rb62zjPpvvwuk,1763169724,2025-11-15T01:22:04.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,226255147863,in,197.02,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
3XLWF97qoA5xoVmQgTVojncLzhm5QUkT2AbRDNDpYRnL3GBDmSrRq7cJqgh2az1JXbaPiYCNxSoRfCCh32yGbNRj,1763111755,2025-11-14T09:15:55.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,217655038960,in,189.53,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
5YMZkhgyNTccKDuHcEZn9oNrpqkbLkaM5Nsi5FbjyofvXUVGibvmP5fvzzi2vPqpDVnHM3suyuxzML6JcnFrnvup,1763053820,2025-11-13T17:10:20.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,158069422999,in,137.64,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
nJyr8R7BnVN6RsgTN1GQA9c5567jeynFbJcDAsxd8vY4gbmKy6x8BGCjZTD4xjbVLTUqgfZux62wAShV643j8Ud,1762998843,2025-11-13T01:54:03.000Z,TRANSFER,8fR7D3ULqu8ZBzCdYYrnGWmwKudx22qvDkQGWx32DeTi,7cBMZkMeZbvERm9ivPaNoYhKJq7EDSSwkJGJJJDSr3iy,115116639008,in,100.24,6,4C5d1YEPyuTQTXZNGczu97JozjrKkuNf16pPacdEHkvY,1.0
