Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
2PxKocqQGYLG1sfwCUcTsnFge3e335cX1DejTyJUKBeGPWst7Fs87v8fw7wpocMLxkKFjxFbtUEjqRvnXvC1KFAM,1740922562,2025-03-02T13:36:02.000Z,CLOSE ACCOUNT,7SLaaJzSV68pmLsYsZAyJryC1UhnaojJjnphs9MUD7mn,7SLaaJzSV68pmLsYsZAyJryC1UhnaojJjnphs9MUD7mn,2039280,out,0.2894,9,SOL,1.0
2PxKocqQGYLG1sfwCUcTsnFge3e335cX1DejTyJUKBeGPWst7Fs87v8fw7wpocMLxkKFjxFbtUEjqRvnXvC1KFAM,1740922562,2025-03-02T13:36:02.000Z,TRANSFER,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,7SLaaJzSV68pmLsYsZAyJryC1UhnaojJjnphs9MUD7mn,1004452867425,in,425.46,6,E6MkvXNr64MytPvvaPnzpqegiyvBGMt8hsWCXGVhpump,1.0
2PxKocqQGYLG1sfwCUcTsnFge3e335cX1DejTyJUKBeGPWst7Fs87v8fw7wpocMLxkKFjxFbtUEjqRvnXvC1KFAM,1740922562,2025-03-02T13:36:02.000Z,TRANSFER,7SLaaJzSV68pmLsYsZAyJryC1UhnaojJjnphs9MUD7mn,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,3000000000,out,424.92,9,So11111111111111111111111111111111111111112,1.0
2PxKocqQGYLG1sfwCUcTsnFge3e335cX1DejTyJUKBeGPWst7Fs87v8fw7wpocMLxkKFjxFbtUEjqRvnXvC1KFAM,1740922562,2025-03-02T13:36:02.000Z,CREATE ACCOUNT,7SLaaJzSV68pmLsYsZAyJryC1UhnaojJjnphs9MUD7mn,CaeTbQ8Xk6Estd55KHRq11C4d6tKJae71nNnrWhPMZ7t,3002039280,out,426.02,9,SOL,1.0
3QCBSduisvZ9TXzk8qUGqiHVqiQVWxMsaeCbdsSRoy8PEhqo63KheJS8zPxM8nUimKC1iFXnVvDrXf16agyoArjQ,1740922385,2025-03-02T13:33:05.000Z,TRANSFER,7SLaaJzSV68pmLsYsZAyJryC1UhnaojJjnphs9MUD7mn,96gYZGLnJYVFmbjzopPSU6QiEV5fGqZNyN9nmNhvrZU5,20000000,out,2.8317,9,SOL,1.0
3QCBSduisvZ9TXzk8qUGqiHVqiQVWxMsaeCbdsSRoy8PEhqo63KheJS8zPxM8nUimKC1iFXnVvDrXf16agyoArjQ,1740922385,2025-03-02T13:33:05.000Z,TRANSFER,7SLaaJzSV68pmLsYsZAyJryC1UhnaojJjnphs9MUD7mn,28KqHiudrpzfVkVWQ1jztQ2Aarf4W3CvTitjWEqTCkpA,2000000,out,0.2832,9,SOL,1.0
3QCBSduisvZ9TXzk8qUGqiHVqiQVWxMsaeCbdsSRoy8PEhqo63KheJS8zPxM8nUimKC1iFXnVvDrXf16agyoArjQ,1740922385,2025-03-02T13:33:05.000Z,TRANSFER,7SLaaJzSV68pmLsYsZAyJryC1UhnaojJjnphs9MUD7mn,9RYJ3qr5eU5xAooqVcbmdeusjcViL5Nkiq7Gske3tiKq,10000000,out,1.4159,9,SOL,1.0
3QCBSduisvZ9TXzk8qUGqiHVqiQVWxMsaeCbdsSRoy8PEhqo63KheJS8zPxM8nUimKC1iFXnVvDrXf16agyoArjQ,1740922385,2025-03-02T13:33:05.000Z,CLOSE ACCOUNT,7SLaaJzSV68pmLsYsZAyJryC1UhnaojJjnphs9MUD7mn,7SLaaJzSV68pmLsYsZAyJryC1UhnaojJjnphs9MUD7mn,2039280,out,0.2887,9,SOL,1.0
3QCBSduisvZ9TXzk8qUGqiHVqiQVWxMsaeCbdsSRoy8PEhqo63KheJS8zPxM8nUimKC1iFXnVvDrXf16agyoArjQ,1740922385,2025-03-02T13:33:05.000Z,TRANSFER,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,7SLaaJzSV68pmLsYsZAyJryC1UhnaojJjnphs9MUD7mn,346591488119,in,141.54,6,E6MkvXNr64MytPvvaPnzpqegiyvBGMt8hsWCXGVhpump,1.0
3QCBSduisvZ9TXzk8qUGqiHVqiQVWxMsaeCbdsSRoy8PEhqo63KheJS8zPxM8nUimKC1iFXnVvDrXf16agyoArjQ,1740922385,2025-03-02T13:33:05.000Z,TRANSFER,7SLaaJzSV68pmLsYsZAyJryC1UhnaojJjnphs9MUD7mn,5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,1000000000,out,141.7,9,So11111111111111111111111111111111111111112,1.0
