time,coin,dir,px,sz,ntl,fee,closedPnl
10/26/2025 - 22:37:21,SUI,Open Short,2.6184,699.6,1831.8326399999999,0.211027,-0.211027
10/26/2025 - 22:37:21,SUI,Open Short,2.6184,230.6,603.8030399999999,0.069558,-0.069558
10/26/2025 - 22:37:24,SUI,Open Short,2.6184,361.4,946.2897599999999,0.109012,-0.109012
10/26/2025 - 22:37:26,SUI,Open Short,2.6184,208.7,546.46008,0.062952,-0.062952
10/26/2025 - 22:37:27,SUI,Open Short,2.6184,376,984.5183999999999,0.113416,-0.113416
10/26/2025 - 22:37:30,SUI,Open Short,2.6184,42,109.97279999999999,0.012668,-0.012668
10/26/2025 - 22:37:33,SUI,Open Short,2.6184,1145.7,2999.90088,0.345588,-0.345588
10/26/2025 - 22:37:33,SUI,Open Short,2.6184,2693.6,7052.922239999999,0.812495,-0.812495
10/26/2025 - 22:37:33,SUI,Open Short,2.6184,1145.5,2999.3772,0.345528,-0.345528
10/26/2025 - 22:37:33,SUI,Open Short,2.6184,60,157.10399999999998,0.018098,-0.018098
10/26/2025 - 22:37:34,SUI,Open Short,2.6184,171.3,448.53192,0.05167,-0.05167
10/26/2025 - 22:37:38,SUI,Open Short,2.6184,2111.9,5529.79896,0.637032,-0.637032
10/26/2025 - 22:37:38,SUI,Open Short,2.6184,1145.7,2999.90088,0.345588,-0.345588
10/26/2025 - 22:37:38,SUI,Open Short,2.6184,2100.5,5499.9492,0.633593,-0.633593
10/26/2025 - 22:37:39,SUI,Open Short,2.6184,293.6,768.76224,0.088561,-0.088561
10/26/2025 - 22:46:00,SUI,Close Short,2.6236545286,18865.5,49496.5545093033,19.006663,-118.14382400000001
10/26/2025 - 23:14:07,SUI,Open Short,2.6641494197,17844.3,47539.88148995271,18.255311,-18.255311
10/26/2025 - 23:40:28,SUI,Close Short,2.6663846875,17844.3,47579.76827915625,18.270626,-58.325504
10/26/2025 - 23:45:26,SUI,Open Short,2.6723306866,17501.8,46770.597210735876,17.959901,-17.959901
10/27/2025 - 00:34:04,SUI,Close Short,2.6824279166,17501.8,46947.316910749876,18.027767,-194.75948300000002
10/27/2025 - 01:16:06,SUI,Open Short,2.6782731324,16672.1,44652.43749068604,17.146531,-17.146531
10/27/2025 - 01:18:48,SUI,Close Short,2.6864252656,16672.1,44788.350670609754,17.19872,-153.16412300000002
10/27/2025 - 01:22:01,SUI,Open Short,2.6855819062,16001.1,42972.264639296816,16.501344,-16.501344
10/27/2025 - 01:34:32,SUI,Close Short,2.6936502753,16001.1,43101.36742010283,16.550919,-145.684201
10/27/2025 - 12:56:57,XPL,Open Long,0.36113,2559,924.13167,0.106459,-0.106459
10/27/2025 - 12:56:58,XPL,Open Long,0.36113,1000,361.13,0.041602,-0.041602
10/27/2025 - 12:59:05,XPL,Open Long,0.36113,11328,4090.88064,0.471269,-0.471269
10/27/2025 - 12:59:06,XPL,Open Long,0.36113,17121,6182.90673,0.71227,-0.71227
10/27/2025 - 12:59:06,XPL,Open Long,0.36113,3488,1259.6214400000001,0.145108,-0.145108
10/27/2025 - 12:59:07,XPL,Open Long,0.36113,4000,1444.52,0.166408,-0.166408
10/27/2025 - 12:59:10,XPL,Open Long,0.36113,244,88.11572,0.01015,-0.01015
10/27/2025 - 12:59:14,XPL,Open Long,0.36113,244,88.11572,0.01015,-0.01015
10/27/2025 - 12:59:19,XPL,Open Long,0.36113,10198,3682.8037400000003,0.424258,-0.424258
10/27/2025 - 12:59:19,XPL,Open Long,0.36113,16979,6131.62627,0.706363,-0.706363
10/27/2025 - 12:59:20,XPL,Open Long,0.36113,244,88.11572,0.01015,-0.01015
10/27/2025 - 12:59:24,XPL,Open Long,0.36113,244,88.11572,0.01015,-0.01015
10/27/2025 - 12:59:26,XPL,Open Long,0.36113,43,15.52859,0.001788,-0.001788
10/27/2025 - 12:59:26,XPL,Open Long,0.36113,16831,6078.17903,0.700206,-0.700206
10/27/2025 - 12:59:27,XPL,Open Long,0.36113,2559,924.13167,0.106459,-0.106459
10/27/2025 - 12:59:28,XPL,Open Long,0.36113,27497,9929.991610000001,1.143935,-1.143935
10/27/2025 - 13:32:44,XPL,Close Long,0.359351214,114579,41174.102748906,15.810853,-219.622373
